ID,NAME,LAT,LON,FEDERAL_STATE,ADRESS,LINK,FREE/NOT FREE,LOCATION TYPE,INDOOR/OUTDOOR,ALL AUSTRIAN GROUPEMATCHES
156,VIENNA Lounge,48.11856252,16.56618496,NIEDEROESTERREICH,"Flughafen Wien-Schwechat ,1300 Wien",,NOT FREE,BAR,INDOOR,NO
157,Viva la Napoli,47.73758335,16.39852806,BURGENLAND,"Gustav Degen Gasse 9, 7210 Mattersburg",,NOT FREE,RESTAURANT,INDOOR,NO
158,Volksheim Ziersdorf,48.52935737,15.92316547,NIEDEROESTERREICH,"Hornerstr. 42, 3710 Ziersdorf",,FREE,EVENT VENUE,INDOOR,NO
159,Vorstadtliebe,48.2254,16.4526,WIEN,"Stadlauer Str. 26, 1220 Wien",https://vorstadtliebe.at/,FREE,RESTAURANT,OUTDOOR,NO
160,Weber Grillcenter Graz,47.0069,15.4112,STEIERMARK,"Rudolf-Kratochwill-Straße 3, 8054 Seiersberg",https://www.steiermark.com/de/Region-Graz/Urlaub-planen/Veranstaltungen/Public-Viewing-Fussball-WM_ed_87762356#event-detail-calendar-dates,NOT FREE,RESTAURANT,INDOOR,NO
161,Weltcafe,48.2168,16.3572,WIEN,"Schwarzspanierstraße 15, 1090 Wien",http://www.weltcafe.at/,NOT FREE,RESTAURANT,INDOOR,NO
162,Westfield Shopping City Süd,48.10842358,16.31742705,NIEDEROESTERREICH,"Vösendorfer Südring 428B, 2334 Vösendorf",https://www.westfield.com/de/austria/scs,FREE,EVENT VENUE,INDOOR,NO
163,Wirt in Puchberg,48.22365148,14.72065974,OBEROESTERREICH,"Puchberg 10, 4341 Arbing",,NOT FREE,RESTAURANT,INDOOR,NO
164,wohlbekannt am Platzl,47.2835047,11.41310581,TIROL,"Hauptplatz 5, 6020 Innsbruck/Mühlau",https://www.wohlbekannt.at/veranstaltungen/,NOT FREE,RESTAURANT,INDOOR,NO
165,Woodstock der Blasmusik,48.3073752,13.42988996,OBEROESTERREICH,"Kammer 5, 4974 Ort im Innkreis",https://www.woodstockderblasmusik.at/,NOT FREE,EVENT VENUE,INDOOR,NO
166,Zentrum Bar,47.33412368,9.644428996,VORARLBERG,"Sankt Ulrichstraße 4, 6840 Götzis",,FREE,BAR,,NO
167,Zwettler Freizeitmeile,48.60652998,15.16424334,NIEDEROESTERREICH,"Schwaiger Sisters-Weg 2, 3910 Zwettl-Niederösterreich",,FREE,EVENT VENUE,OUTDOOR,NO
